project_id,satisfaction_score
101,4.96
102,3.22
103,3.8
104,4.94
105,4.73
106,4.63
107,3.52
108,3.34
109,4.34
110,4.86
111,4.11
112,4.14
113,3.56
114,4.54
115,3.37
116,3.65
117,3.85
118,4.02
119,3.48
120,3.23
121,4.22
122,3.58
123,4.16
124,3.31
125,3.96
126,4.07
127,3.1
128,3.67
129,3.27
130,3.13
131,4.98
132,3.64
133,4.62
134,3.51
135,4.36
136,4.52
137,4.19
138,3.94
139,3.82
140,3.7
141,4.86
142,4.66
143,4.93
144,3.25
145,4.46
146,4.88
147,3.36
148,3.13
149,4.48
150,4.15
151,4.68
152,3.28
153,4.59
154,3.4
155,3.33
156,3.33
157,4.63
158,4.33
159,4.05
160,3.72
161,4.75
162,3.78
163,4.63
164,3.88
165,3.75
166,3.93
167,3.6
168,4.5
169,4.01
170,3.46
171,4.8
172,3.77
173,4.09
174,4.81
175,4.25
176,3.23
177,4.88
178,4.26
179,3.67
180,3.28
181,4.59
182,4.24
183,4.07
184,4.79
185,4.58
186,3.3
187,3.62
188,3.5
189,4.49
190,3.07
191,4.14
192,4.52
193,4.75
194,3.68
195,4.64
196,3.22
197,4.69
198,3.25
199,3.79
200,4.59
201,3.3
202,3.46
203,4.44
204,4.44
205,4.28
206,4.39
207,4.09
208,3.5
209,3.69
210,3.36
211,4.82
212,4.17
213,3.8
214,3.92
215,4.89
216,3.31
217,4.17
218,4.01
219,4.22
220,3.04
221,4.74
222,4.86
223,4.13
224,4.39
225,4.84
226,4.41
227,3.31
228,4.15
229,4.21
230,3.85
231,4.47
232,4.87
233,4.85
234,3.9
235,3.23
236,4.97
237,4.68
238,3.25
239,4.84
240,4.74
241,4.04
242,4.18
243,3.8
244,3.11
245,3.67
246,4.61
247,3.01
248,3.67
249,3.8
250,4.07
251,4.84
252,3.69
253,3.69
254,4.48
255,3.9
256,3.45
257,3.9
258,3.28
259,3.35
260,4.0
261,3.84
262,4.83
263,3.72
264,4.16
265,4.26
266,3.03
267,4.33
268,3.36
269,4.92
270,3.3
271,3.83
272,3.17
273,4.99
274,4.0
275,4.19
276,3.13
277,4.5
278,3.42
279,4.8
280,3.41
281,3.38
282,3.07
283,3.94
284,4.13
285,3.13
286,4.55
287,3.91
288,4.05
289,3.88
290,3.8
291,4.12
292,3.31
293,3.36
294,4.72
295,4.89
296,3.75
297,3.54
298,4.29
299,3.82
300,3.05
301,3.31
302,4.43
303,4.32
304,3.05
305,3.44
306,3.46
307,4.34
308,3.04
309,3.21
310,4.6
311,3.36
312,4.31
313,3.48
314,3.2
315,3.49
316,4.44
317,4.71
318,4.66
319,3.79
320,4.34
321,3.41
322,3.59
323,4.79
324,3.03
325,3.17
326,3.42
327,3.05
328,3.36
329,4.17
330,3.84
331,4.79
332,4.63
333,3.68
334,3.52
335,3.76
336,4.18
337,3.54
338,4.25
339,3.82
340,4.1
341,3.87
342,3.59
343,4.9
344,4.53
345,3.28
346,4.74
347,3.97
348,4.79
349,4.6
350,3.85
